model,valid_IC,valid_IR,valid_spear,valid_pos,test_IC,test_IR,test_spear,test_pos
ridge_nf,0.03597,0.474,0.03396,0.667,0.04134,0.548,0.04633,0.723
elasticnet_nf,0.03703,0.488,0.0355,0.667,0.04338,0.595,0.04924,0.728
lightgbm_l1_nf,0.05844,0.851,0.05788,0.808,0.05382,0.849,0.05833,0.821
lightgbm_huber_nf,0.0597,0.85,0.0569,0.808,0.05502,0.86,0.05827,0.818
lightgbm_dart_nf,0.05792,0.962,0.05834,0.833,0.05471,1.014,0.06037,0.852
