model,valid_IC,valid_IR,valid_spear,valid_pos,test_IC,test_IR,test_spear,test_pos
ridge,0.03634,0.506,0.03429,0.717,0.04163,0.568,0.04643,0.728
elasticnet,0.03708,0.506,0.0354,0.708,0.04301,0.599,0.04868,0.731
lightgbm_l1,0.0591,0.882,0.05804,0.808,0.05521,0.888,0.05919,0.826
lightgbm_huber,0.05835,0.824,0.05509,0.792,0.05537,0.869,0.05821,0.815
lightgbm_dart,0.05774,0.965,0.05796,0.833,0.05499,1.051,0.0603,0.858
