model,valid_IC,valid_IR,valid_spear,valid_pos,test_IC,test_IR,test_spear,test_pos
ridge_nf20,0.03554,0.478,0.03392,0.7,0.04083,0.547,0.0458,0.715
elasticnet_nf20,0.0366,0.489,0.03531,0.675,0.0427,0.585,0.0486,0.728
lightgbm_l1_nf20,0.05956,0.884,0.0592,0.792,0.05488,0.876,0.05912,0.823
lightgbm_huber_nf20,0.05915,0.835,0.05653,0.808,0.05525,0.862,0.05844,0.818
lightgbm_dart_nf20,0.05789,0.97,0.05868,0.833,0.05499,1.039,0.06068,0.86
