model,valid_IC,valid_IR,test_IC,test_IR,detail
ref_equal3_nf20,0.06483,0.958,0.05954,0.955,"equal ['lightgbm', 'mlp_nf20', 'transformer_nf20']"
div3_nf20,0.06471,0.959,0.05937,0.959,"w={'lightgbm': 0.4, 'mlp_nf20': 0.343, 'transformer_nf20': 0.257}"
divN_nf20,0.06435,0.999,0.05936,1.017,"w={'lightgbm_dart_nf20': 0.419, 'lightgbm_huber_nf20': 0.0, 'lightgbm_l1_nf20': 0.046, 'mlp_nf20': 0.336, 'transformer_nf20': 0.199}"
FINAL ensemble_nf20 (divN+neutG),0.06495,1.111,0.05947,1.106,"alpha=0.3  members=['lightgbm_dart_nf20', 'lightgbm_huber_nf20', 'lightgbm_l1_nf20', 'mlp_nf20', 'transformer_nf20']  w={'lightgbm_dart_nf20': 0.419, 'lightgbm_huber_nf20': 0.0, 'lightgbm_l1_nf20': 0.046, 'mlp_nf20': 0.336, 'transformer_nf20': 0.199}"
